car_list,,,,,,,,,,,,,,,,,,,,,,,,,
모델명,제조사,유종,배기량,공차중량,변속형식,도심주행연비,고속도로주행연비,복합연비,등급,CO2배출량,연비신고구분,국산/수입,자동차형식,자동차종류,승차정원,엔진형식,최고출력(ps/rpm),최고토크(kgm/rpm),연료공급방식,변속형식,굴림방식,타이어사이즈(전),타이어사이즈(후),연료탱크용량(ℓ),자동차유형
K8 1.6TGDI 하이브리드 18인치,기아,휘발유,"1,598cc","1,650kg",자동6,17.2㎞/ℓ,16.9㎞/ℓ,17.1㎞/ℓ,1등급,94g/km,3개 부처 공동고시,국산,하이브리드,승용차,5,G4FT,180/5500,27.0/1500~4500,직접분사,자동6,FF,245/45R18,245/45R18,50,일반형
K8 1.6TGDI 하이브리드 17인치 (빌트인캠),기아,휘발유,"1,598cc","1,630kg",자동6,17.6㎞/ℓ,17.7㎞/ℓ,17.6㎞/ℓ,1등급,91g/km,3개 부처 공동고시,국산,하이브리드,승용차,5,G4FT,180/5500,27.0/1500~4500,직접분사,자동6,FF,225/55R17,225/55R17,50,일반형
K8 1.6TGDI 하이브리드 17인치,기아,휘발유,"1,598cc","1,630kg",자동6,18.2㎞/ℓ,17.7㎞/ℓ,18.0㎞/ℓ,1등급,88g/km,3개 부처 공동고시,국산,하이브리드,승용차,5,G4FT,180/5500,27.0/1500~4500,직접분사,자동6,FF,225/55R17,225/55R17,50,일반형
쏘나타(DN8) 2.0GDI 하이브리드_17인치타이어_22MY,현대,휘발유,"1,999cc","1,515kg",자동6,19.0㎞/ℓ,19.1㎞/ℓ,19.1㎞/ℓ,1등급,83g/km,3개 부처 공동고시,국산,하이브리드,승용차,5,G4NR,152/6000,19.2/5000,직접분사,자동6,FF,215/55R17,215/55R17,50,일반형
쏘나타(DN8) 하이브리드_17인치(빌트인캠)_22MY,현대,휘발유,"1,999cc","1,515kg",자동6,18.4㎞/ℓ,19.1㎞/ℓ,18.8㎞/ℓ,1등급,85g/km,3개 부처 공동고시,국산,하이브리드,승용차,5,G4NR,152/6000,19.2/5000,직접분사,자동6,FF,215/55R17,215/55R17,50,일반형
쏘나타(DN8) 2.0GDI 하이브리드_18인치타이어_22MY,현대,휘발유,"1,999cc","1,525kg",자동6,18.1㎞/ℓ,17.8㎞/ℓ,18.0㎞/ℓ,1등급,88g/km,3개 부처 공동고시,국산,하이브리드,승용차,5,G4NR,152/6000,19.2/5000,직접분사,자동6,FF,235/45R18,235/45R18,50,일반형
쏘나타(DN8) 하이브리드_18인치(빌트인캠)_22MY,현대,휘발유,"1,999cc","1,525kg",자동6,17.3㎞/ℓ,17.8㎞/ℓ,17.6㎞/ℓ,1등급,91g/km,3개 부처 공동고시,국산,하이브리드,승용차,5,G4NR,152/6000,19.2/5000,직접분사,자동6,FF,235/45R18,235/45R18,50,일반형
A4 35 TDI,아우디,경유,"1,968cc","1,595kg",자동7,15.3㎞/ℓ,19.4㎞/ℓ,16.9㎞/ℓ,1등급,110g/km,3개 부처 공동고시,수입,내연기관,승용차,5,DTN,163 / 3250-4200,37.7295 / 1500-2750,직접분사,자동7,FF,245/40 R18,245/40 R18,55.5,일반형
코란도 1.6 디젤 6MT 2WD SCR Step2,쌍용,경유,"1,597cc","1,535kg",수동6,14.9㎞/ℓ,17.5㎞/ℓ,16.0㎞/ℓ,1등급,117g/km,3개 부처 공동고시,국산,내연기관,승용차,5,673910,136/4000,30.6/1500~3000,CRD,수동6,2WD,215/65R17,215/65R17,47,기타형
Peugeot 308 1.5 BlueHDi,,경유,"1,499cc","1,435kg",자동8,15.6㎞/ℓ,19.4㎞/ℓ,17.1㎞/ℓ,1등급,109g/km,3개 부처 공동고시,수입,내연기관,승용차,5,YH01,131/3750,30.61/1750,직접분사,자동8,FF,225/45R17,225/45R17,41,일반형
Peugeot 508 1.5 BlueHDi_(18inch tire),,경유,"1,499cc","1,505kg",자동8,15.4㎞/ℓ,20.0㎞/ℓ,17.2㎞/ℓ,1등급,108g/km,3개 부처 공동고시,수입,내연기관,승용차,5,YH01,131/3750,30.61/1750,직접분사,자동8,FF,235/45R18,235/45R18,53,일반형
Peugeot 508SW 1.5 BlueHDi_(18inch tire),,경유,"1,499cc","1,505kg",자동8,15.4㎞/ℓ,20.0㎞/ℓ,17.2㎞/ℓ,1등급,108g/km,3개 부처 공동고시,수입,내연기관,승용차,5,YH01,131/3750,30.61/1750,직접분사,자동8,FF,235/45R18,235/45R18,53,일반형
A5 Sportback 35 TDI,아우디,경유,"1,968cc","1,635kg",자동7,15.0㎞/ℓ,18.4㎞/ℓ,16.3㎞/ℓ,1등급,114g/km,3개 부처 공동고시,수입,내연기관,승용차,5,DTN,163 / 3250-4200,37.7295 / 1500-2750,직접분사,자동7,FF,255/35 R19,255/35 R19,55.5,일반형
ACCORD HYBRID,혼다,휘발유,"1,993cc","1,570kg",무단변속,18.0㎞/ℓ,17.0㎞/ℓ,17.5㎞/ℓ,1등급,91g/km,3개 부처 공동고시,수입,하이브리드,승용차,5,LFB2,145/6200,17.8/3500,MPI,무단변속,FF,235/40R19,235/40R19,48.5,일반형
"셀토스 1.6디젤 2WD 17"" 타이어 (21)",기아,경유,"1,598cc","1,410kg",자동7,15.9㎞/ℓ,17.7㎞/ℓ,16.7㎞/ℓ,1등급,111g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4FE,136/4000,32.6/2000~2250,CRD,자동7,2WD,215/55R17,215/55R17,50,다목적형
