car_list,,,,,,,,,,,,,,,,,,,,,,,,,
모델명,제조사,유종,배기량,공차중량,변속형식,도심주행연비,고속도로주행연비,복합연비,등급,CO2배출량,연비신고구분,국산/수입,자동차형식,자동차종류,승차정원,엔진형식,최고출력(ps/rpm),최고토크(kgm/rpm),연료공급방식,변속형식,굴림방식,타이어사이즈(전),타이어사이즈(후),연료탱크용량(ℓ),자동차유형
Peugeot 3008 1.2 Puretech,,휘발유,"1,199cc","1,510kg",자동8,11.1㎞/ℓ,13.8㎞/ℓ,12.2㎞/ℓ,3등급,134g/km,3개 부처 공동고시,수입,내연기관,승용차,5,HN05,131/5500,23.5/1750,직접분사,자동8,FF,205/55R19,205/55R19,52.5,다목적형
DS7 CROSSBACK 1.2 PureTech,,휘발유,"1,199cc","1,575kg",자동8,10.5㎞/ℓ,13.7㎞/ℓ,11.8㎞/ℓ,3등급,137g/km,3개 부처 공동고시,수입,내연기관,승용차,5,HN05,131/5500,23.5/1750,직접분사,자동8,FF,235/50R19,235/50R19,60,다목적형
Peugeot 5008 1.2 Puretech,,휘발유,"1,199cc","1,590kg",자동8,10.8㎞/ℓ,14.2㎞/ℓ,12.1㎞/ℓ,3등급,135g/km,3개 부처 공동고시,수입,내연기관,승용차,7,HN05,131/5500,23.5/1750,직접분사,자동8,FF,205/55R19,205/55R19,55,다목적형
A3 40 TFSI,아우디,휘발유,"1,984cc","1,500kg",자동7,11.4㎞/ℓ,15.5㎞/ℓ,13.0㎞/ℓ,3등급,131g/km,3개 부처 공동고시,수입,하이브리드,승용차,5,DNV,204 / 4800-6000,30.59 / 1600-4700,직접분사,자동7,FF,225/40R18,225/40R18,50,일반형
DS7 CROSSBACK 1.2 PureTech,,휘발유,"1,199cc","1,550kg",자동8,10.5㎞/ℓ,13.7㎞/ℓ,11.8㎞/ℓ,3등급,137g/km,3개 부처 공동고시,수입,내연기관,승용차,5,HN05,131/5500,23.5/1750,직접분사,자동8,FF,235/50R19,235/50R19,60,다목적형
카니발 2.2디젤 11인 18인치(22),기아,경유,"2,151cc","2,095kg",자동8,11.2㎞/ℓ,14.2㎞/ℓ,12.4㎞/ℓ,3등급,155g/km,3개 부처 공동고시,국산,내연기관,승합차,11,D4HE,194/3800,45/1750~2750,CRD,자동8,FF,235/60R18,235/60R18,72,일반형
쏘렌토 2.2디젤 4WD 7인 18인치타이어(22),기아,경유,"2,151cc","1,865kg",자동8,11.8㎞/ℓ,15.3㎞/ℓ,13.1㎞/ℓ,3등급,145g/km,3개 부처 공동고시,국산,내연기관,승용차,7,D4HE,194/3800,45/1750~2750,CRD,자동8,4WD,235/60R18,235/60R18,67,다목적형
쏘렌토 2.2디젤 4WD 5인 18인치타이어(22),기아,경유,"2,151cc","1,820kg",자동8,12.3㎞/ℓ,15.6㎞/ℓ,13.6㎞/ℓ,3등급,140g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4HE,194/3800,45/1750~2750,CRD,자동8,4WD,235/60R18,235/60R18,67,다목적형
쏘렌토 2.2디젤 4WD 7인 20인치타이어(22),기아,경유,"2,151cc","1,880kg",자동8,11.5㎞/ℓ,14.7㎞/ℓ,12.8㎞/ℓ,3등급,150g/km,3개 부처 공동고시,국산,내연기관,승용차,7,D4HE,194/3800,45/1750~2750,CRD,자동8,4WD,255/45R20,255/45R20,67,다목적형
쏘렌토 2.2디젤 2WD 7인 20인치타이어(22),기아,경유,"2,151cc","1,815kg",자동8,12.3㎞/ℓ,15.8㎞/ℓ,14.0㎞/ℓ,3등급,135g/km,3개 부처 공동고시,국산,내연기관,승용차,7,D4HE,194/3800,45/1750~2750,CRD,자동8,2WD,255/45R20,255/45R20,67,다목적형
쏘렌토 2.2디젤 4WD 6인 18인치타이어(22),기아,경유,"2,151cc","1,850kg",자동8,11.8㎞/ℓ,15.3㎞/ℓ,13.1㎞/ℓ,3등급,145g/km,3개 부처 공동고시,국산,내연기관,승용차,6,D4HE,194/3800,45/1750~2750,CRD,자동8,4WD,235/60R18,235/60R18,67,다목적형
싼타페 2.2디젤 AWD 5인 18인치(22),현대,경유,"2,151cc","1,800kg",자동8,12.3㎞/ℓ,15.4㎞/ℓ,13.6㎞/ℓ,3등급,140g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4HE,194/3800,45/1750~2750,CRD,자동8,AWD,235/60R18,235/60R18,67,다목적형
싼타페 2.2디젤 AWD 7인 18인치(22),현대,경유,"2,151cc","1,850kg",자동8,11.8㎞/ℓ,15.2㎞/ℓ,13.1㎞/ℓ,3등급,146g/km,3개 부처 공동고시,국산,내연기관,승용차,7,D4HE,194/3800,45/1750~2750,CRD,자동8,AWD,235/60R18,235/60R18,67,다목적형
싼타페 2.2디젤 AWD 7인 20인치(22),현대,경유,"2,151cc","1,885kg",자동8,11.7㎞/ℓ,14.4㎞/ℓ,12.8㎞/ℓ,3등급,150g/km,3개 부처 공동고시,국산,내연기관,승용차,7,D4HE,194/3800,45/1750~2750,CRD,자동8,AWD,255/45R20,255/45R20,67,다목적형
GV70 2.2디젤 2WD 19인치 (스포츠패키지)(22),현대,경유,"2,151cc","1,920kg",자동8,12.0㎞/ℓ,15.0㎞/ℓ,13.2㎞/ℓ,3등급,144g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4HF,202/3800,45/1750~2750,CRD,자동8,FR,235/55R19,235/55R19,66,다목적형
GV70 2.2디젤 2WD 21인치 (스포츠패키지)(22),현대,경유,"2,151cc","1,935kg",자동8,11.6㎞/ℓ,14.2㎞/ℓ,12.6㎞/ℓ,3등급,151g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4HF,202/3800,45/1750~2750,CRD,자동8,FR,255/40R21,255/40R21,66,다목적형
GV70 2.2디젤 AWD 18인치(22),현대,경유,"2,151cc","1,955kg",자동8,11.6㎞/ℓ,15.1㎞/ℓ,12.9㎞/ℓ,3등급,148g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4HF,202/3800,45/1750~2750,CRD,자동8,AWD,235/60R18,235/60R18,66,다목적형
GV70 2.2디젤 AWD 18인치(빌트인캠)(22),현대,경유,"2,151cc","1,955kg",자동8,11.5㎞/ℓ,14.9㎞/ℓ,12.8㎞/ℓ,3등급,149g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4HF,202/3800,45/1750~2750,CRD,자동8,AWD,235/60R18,235/60R18,66,다목적형
GV70 2.2디젤 AWD 19인치 (스포츠패키지)(22),현대,경유,"2,151cc","1,980kg",자동8,11.1㎞/ℓ,14.0㎞/ℓ,12.2㎞/ℓ,3등급,157g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4HF,202/3800,45/1750~2750,CRD,자동8,AWD,235/55R19,235/55R19,66,다목적형
GV70 2.2디젤 AWD 21인치 (스포츠패키지)(22),현대,경유,"2,151cc","1,995kg",자동8,11.0㎞/ℓ,13.6㎞/ℓ,12.0㎞/ℓ,3등급,160g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4HF,202/3800,45/1750~2750,CRD,자동8,AWD,255/40R21,255/40R21,66,다목적형
GV70 2.2디젤 AWD 19인치(22),현대,경유,"2,151cc","1,965kg",자동8,11.1㎞/ℓ,14.0㎞/ℓ,12.2㎞/ℓ,3등급,157g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4HF,202/3800,45/1750~2750,CRD,자동8,AWD,235/55R19,235/55R19,66,다목적형
GV70 2.2디젤 AWD 21인치(22),현대,경유,"2,151cc","1,980kg",자동8,11.0㎞/ℓ,13.6㎞/ℓ,12.0㎞/ℓ,3등급,160g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4HF,202/3800,45/1750~2750,CRD,자동8,AWD,255/40R21,255/40R21,66,다목적형
GV70 2.2디젤 2WD 19인치(22),현대,경유,"2,151cc","1,905kg",자동8,12.0㎞/ℓ,15.0㎞/ℓ,13.2㎞/ℓ,3등급,144g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4HF,202/3800,45/1750~2750,CRD,자동8,FR,235/55R19,235/55R19,66,다목적형
GV70 2.2디젤 2WD 21인치(22),현대,경유,"2,151cc","1,920kg",자동8,11.6㎞/ℓ,14.2㎞/ℓ,12.6㎞/ℓ,3등급,151g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4HF,202/3800,45/1750~2750,CRD,자동8,FR,255/40R21,255/40R21,66,다목적형
카니발 2.2디젤 9인 18인치/19인치(빌트인캠)(22),기아,경유,"2,151cc","2,050kg",자동8,11.5㎞/ℓ,15.0㎞/ℓ,12.9㎞/ℓ,3등급,149g/km,3개 부처 공동고시,국산,내연기관,승용차,9,D4HE,194/3800,45/1750~2750,CRD,자동8,FF,235/55R19,235/55R19,72,기타형
싼타페 2.2디젤 2WD 6인 20인치(22),현대,경유,"2,151cc","1,820kg",자동8,12.5㎞/ℓ,15.3㎞/ℓ,13.7㎞/ℓ,3등급,139g/km,3개 부처 공동고시,국산,내연기관,승용차,6,D4HE,194/3800,45/1750~2750,CRD,자동8,FF,255/45R20,255/45R20,67,다목적형
싼타페 2.2디젤 2WD 5인 20인치(22),현대,경유,"2,151cc","1,770kg",자동8,12.5㎞/ℓ,15.3㎞/ℓ,13.7㎞/ℓ,3등급,139g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4HE,194/3800,45/1750~2750,CRD,자동8,FF,255/45R20,255/45R20,67,다목적형
싼타페 2.2디젤 AWD 6인 18인치(22),현대,경유,"2,151cc","1,850kg",자동8,11.8㎞/ℓ,15.2㎞/ℓ,13.1㎞/ℓ,3등급,146g/km,3개 부처 공동고시,국산,내연기관,승용차,6,D4HE,194/3800,45/1750~2750,CRD,자동8,AWD,235/60R18,235/60R18,67,다목적형
싼타페 2.2디젤 AWD 5인 18인치(빌트인캠)(22),현대,경유,"2,151cc","1,800kg",자동8,11.8㎞/ℓ,15.2㎞/ℓ,13.1㎞/ℓ,3등급,146g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4HE,194/3800,45/1750~2750,CRD,자동8,AWD,235/60R18,235/60R18,67,다목적형
싼타페 2.2디젤 AWD 6인 20인치(22),현대,경유,"2,151cc","1,885kg",자동8,11.7㎞/ℓ,14.4㎞/ℓ,12.8㎞/ℓ,3등급,150g/km,3개 부처 공동고시,국산,내연기관,승용차,6,D4HE,194/3800,45/1750~2750,CRD,자동8,AWD,255/45R20,255/45R20,67,다목적형
싼타페 2.2디젤 AWD 5인 20인치(22),현대,경유,"2,151cc","1,835kg",자동8,11.7㎞/ℓ,14.4㎞/ℓ,12.8㎞/ℓ,3등급,150g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4HE,194/3800,45/1750~2750,CRD,자동8,AWD,255/45R20,255/45R20,67,다목적형
스포티지 2.0디젤 4WD 8AT 19인치(22),기아,경유,"1,998cc","1,710kg",자동8,11.5㎞/ℓ,13.9㎞/ℓ,12.5㎞/ℓ,3등급,154g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4HD,184/4000,42.5/2000~2750,CRD,자동8,AWD,235/55R19,235/55R19,54,다목적형
쏘렌토 2.2디젤 2WD 6인 20인치타이어(22),기아,경유,"2,151cc","1,800kg",자동8,12.3㎞/ℓ,15.8㎞/ℓ,14.0㎞/ℓ,3등급,135g/km,3개 부처 공동고시,국산,내연기관,승용차,6,D4HE,194/3800,45/1750~2750,CRD,자동8,2WD,255/45R20,255/45R20,67,다목적형
스포티지 2.0디젤 4WD 8AT 19인치 (빌트인캠),기아,경유,"1,998cc","1,710kg",자동8,11.3㎞/ℓ,13.9㎞/ℓ,12.4㎞/ℓ,3등급,155g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4HD,184/4000,42.5/2000~2750,CRD,자동8,AWD,235/55R19,235/55R19,54,다목적형
GV70 2.2디젤 2WD 18인치 (빌트인캠)(22),현대,경유,"2,151cc","1,895kg",자동8,12.2㎞/ℓ,15.5㎞/ℓ,13.5㎞/ℓ,3등급,141g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4HF,202/3800,45/1750~2750,CRD,자동8,FR,235/60R18,235/60R18,66,다목적형
싼타페 2.2디젤 2WD 7인 20인치(22),현대,경유,"2,151cc","1,820kg",자동8,12.5㎞/ℓ,15.3㎞/ℓ,13.7㎞/ℓ,3등급,139g/km,3개 부처 공동고시,국산,내연기관,승용차,7,D4HE,194/3800,45/1750~2750,CRD,자동8,FF,255/45R20,255/45R20,67,다목적형
카니발 2.2디젤 11인 18인치(빌트인캠)(22),기아,경유,"2,151cc","2,095kg",자동8,11.1㎞/ℓ,14.0㎞/ℓ,12.3㎞/ℓ,3등급,157g/km,3개 부처 공동고시,국산,내연기관,승합차,11,D4HE,194/3800,45/1750~2750,CRD,자동8,FF,235/60R18,235/60R18,72,일반형
스포티지 2.0디젤 4WD 8AT 18인치(22),기아,경유,"1,998cc","1,720kg",자동8,11.7㎞/ℓ,14.6㎞/ℓ,12.9㎞/ℓ,3등급,149g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4HD,184/4000,42.5/2000~2750,CRD,자동8,AWD,235/60R18,235/60R18,54,다목적형
스포티지 2.0디젤 4WD 8AT 17인치(22),기아,경유,"1,998cc","1,690kg",자동8,11.7㎞/ℓ,14.6㎞/ℓ,12.9㎞/ℓ,3등급,149g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4HD,184/4000,42.5/2000~2750,CRD,자동8,AWD,235/65R17,235/65R17,54,다목적형
투싼 2.0디젤 AWD 8AT 17/18인치(22),현대,경유,"1,998cc","1,675kg",자동8,11.7㎞/ℓ,14.6㎞/ℓ,12.9㎞/ℓ,3등급,149g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4HD,184/4000,42.5/2000~2750,CRD,자동8,AWD,235/60R18,235/60R18,54,다목적형
투싼 2.0디젤 AWD 8AT 18인치 (빌트인캠) (22),현대,경유,"1,998cc","1,685kg",자동8,11.6㎞/ℓ,14.5㎞/ℓ,12.8㎞/ℓ,3등급,150g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4HD,184/4000,42.5/2000~2750,CRD,자동8,AWD,235/60R18,235/60R18,54,다목적형
투싼 2.0디젤 AWD 8AT 19인치(22),현대,경유,"1,998cc","1,705kg",자동8,11.4㎞/ℓ,13.8㎞/ℓ,12.4㎞/ℓ,3등급,155g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4HD,184/4000,42.5/2000~2750,CRD,자동8,AWD,235/55R19,235/55R19,54,다목적형
GV80 3.0디젤 2WD 5인 19인치(22),현대,경유,"2,996cc","2,150kg",자동8,10.4㎞/ℓ,13.7㎞/ℓ,11.7㎞/ℓ,3등급,165g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D6JA,273/3800,60.0/1500~3000,CRD,자동8,FR,265/55R19,265/55R19,80,다목적형
쏘렌토 2.2디젤 4WD 5인 18인치타이어 (빌트인캠)(22),기아,경유,"2,151cc","1,820kg",자동8,11.8㎞/ℓ,15.3㎞/ℓ,13.1㎞/ℓ,3등급,145g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4HE,194/3800,45/1750~2750,CRD,자동8,4WD,235/60R18,235/60R18,67,다목적형
쏘렌토 2.2디젤 4WD 5인 20인치타이어(22),기아,경유,"2,151cc","1,835kg",자동8,11.5㎞/ℓ,14.7㎞/ℓ,12.8㎞/ℓ,3등급,150g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4HE,194/3800,45/1750~2750,CRD,자동8,4WD,255/45R20,255/45R20,67,다목적형
GV70 2.2디젤 2WD 18인치(22),현대,경유,"2,151cc","1,895kg",자동8,12.4㎞/ℓ,15.5㎞/ℓ,13.6㎞/ℓ,3등급,140g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4HF,202/3800,45/1750~2750,CRD,자동8,FR,235/60R18,235/60R18,66,다목적형
"싼타페 1.6T-GDI HEV AWD 6인 17""타이어(22MY)",현대,휘발유,"1,598cc","1,880kg",자동6,14.0㎞/ℓ,12.6㎞/ℓ,13.4㎞/ℓ,3등급,122g/km,3개 부처 공동고시,국산,하이브리드,승용차,6,G4FT,180/5500,27.0/1500~4500,직접분사,자동6,AWD,235/65R17,235/65R17,67,다목적형
"싼타페 1.6T-GDI HEV AWD 5인 17""타이어(22MY)",현대,휘발유,"1,598cc","1,830kg",자동6,14.0㎞/ℓ,12.6㎞/ℓ,13.4㎞/ℓ,3등급,122g/km,3개 부처 공동고시,국산,하이브리드,승용차,5,G4FT,180/5500,27.0/1500~4500,직접분사,자동6,AWD,235/65R17,235/65R17,67,다목적형
"싼타페 1.6T-GDI HEV AWD 7인 19""타이어(22MY)",현대,휘발유,"1,598cc","1,910kg",자동6,13.8㎞/ℓ,12.3㎞/ℓ,13.1㎞/ℓ,3등급,125g/km,3개 부처 공동고시,국산,하이브리드,승용차,7,G4FT,180/5500,27.0/1500~4500,직접분사,자동6,AWD,235/55R19,235/55R19,67,다목적형
투싼 2.0디젤 AWD 8AT 19인치 (빌트인캠)(22),현대,경유,"1,998cc","1,705kg",자동8,11.4㎞/ℓ,13.8㎞/ℓ,12.4㎞/ℓ,3등급,155g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4HD,184/4000,42.5/2000~2750,CRD,자동8,AWD,235/55R19,235/55R19,54,다목적형
"싼타페 1.6T-GDI HEV AWD 7인 17""타이어(22MY)",현대,휘발유,"1,598cc","1,880kg",자동6,14.0㎞/ℓ,12.6㎞/ℓ,13.4㎞/ℓ,3등급,122g/km,3개 부처 공동고시,국산,하이브리드,승용차,7,G4FT,180/5500,27.0/1500~4500,직접분사,자동6,AWD,235/65R17,235/65R17,67,다목적형
"싼타페 1.6T-GDI HEV AWD 6인 19""타이어(22MY)",현대,휘발유,"1,598cc","1,910kg",자동6,13.8㎞/ℓ,12.3㎞/ℓ,13.1㎞/ℓ,3등급,125g/km,3개 부처 공동고시,국산,하이브리드,승용차,6,G4FT,180/5500,27.0/1500~4500,직접분사,자동6,AWD,235/55R19,235/55R19,67,다목적형
"싼타페 1.6T-GDI HEV AWD 5인 19""타이어(22MY)",현대,휘발유,"1,598cc","1,860kg",자동6,13.8㎞/ℓ,12.3㎞/ℓ,13.1㎞/ℓ,3등급,125g/km,3개 부처 공동고시,국산,하이브리드,승용차,5,G4FT,180/5500,27.0/1500~4500,직접분사,자동6,AWD,235/55R19,235/55R19,67,다목적형
스포티지 2.0디젤 4WD 8AT 18인치 (빌트인캠)(22),기아,경유,"1,998cc","1,720kg",자동8,11.6㎞/ℓ,14.5㎞/ℓ,12.8㎞/ℓ,3등급,150g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4HD,184/4000,42.5/2000~2750,CRD,자동8,AWD,235/60R18,235/60R18,54,다목적형
쏘렌토 2.2디젤 2WD 5인 20인치타이어(22),기아,경유,"2,151cc","1,770kg",자동8,12.3㎞/ℓ,15.8㎞/ℓ,14.0㎞/ℓ,3등급,135g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4HE,194/3800,45/1750~2750,CRD,자동8,2WD,255/45R20,255/45R20,67,다목적형
쏘렌토 2.2디젤 4WD 6인 20인치타이어(22),기아,경유,"2,151cc","1,865kg",자동8,11.5㎞/ℓ,14.7㎞/ℓ,12.8㎞/ℓ,3등급,150g/km,3개 부처 공동고시,국산,내연기관,승용차,6,D4HE,194/3800,45/1750~2750,CRD,자동8,4WD,255/45R20,255/45R20,67,다목적형
카니발 2.2디젤 하이리무진 9인(18인치/19인치)(22),기아,경유,"2,151cc","2,150kg",자동8,10.9㎞/ℓ,13.6㎞/ℓ,12.0㎞/ℓ,3등급,160g/km,3개 부처 공동고시,국산,내연기관,승용차,9,D4HE,194/3800,45/1750~2750,CRD,자동8,FF,235/55R19,235/55R19,72,기타형
카니발 2.2디젤 7인 19인치(22),기아,경유,"2,151cc","2,105kg",자동8,11.3㎞/ℓ,14.3㎞/ℓ,12.5㎞/ℓ,3등급,154g/km,3개 부처 공동고시,국산,내연기관,승용차,7,D4HE,194/3800,45/1750~2750,CRD,자동8,FF,235/55R19,235/55R19,72,기타형
카니발 2.2디젤 7인 19인치(빌트인캠)(22),기아,경유,"2,151cc","2,105kg",자동8,11.2㎞/ℓ,14.2㎞/ℓ,12.4㎞/ℓ,3등급,155g/km,3개 부처 공동고시,국산,내연기관,승용차,7,D4HE,194/3800,45/1750~2750,CRD,자동8,FF,235/55R19,235/55R19,72,기타형
카니발 2.2디젤 9인 18인치/19인치(22),기아,경유,"2,151cc","2,050kg",자동8,11.7㎞/ℓ,15.0㎞/ℓ,13.0㎞/ℓ,3등급,147g/km,3개 부처 공동고시,국산,내연기관,승용차,9,D4HE,194/3800,45/1750~2750,CRD,자동8,FF,235/55R19,235/55R19,72,기타형
Mercedes-Benz GLE300 d 4MATIC (5 Seater),벤츠,경유,"1,993cc","2,395kg",,11.4㎞/ℓ,12.6㎞/ℓ,11.9㎞/ℓ,3등급,161g/km,3개 부처 공동고시,수입,하이브리드,승용차,5,654 820,272/4200,56.1/1800-2200,전자분사,자동9,AWD,275/45 R21,315/40 R21,85,다목적형
Mercedes-Benz GLE300 d 4MATIC,벤츠,경유,"1,993cc","2,435kg",,11.4㎞/ℓ,12.6㎞/ℓ,11.9㎞/ℓ,3등급,161g/km,3개 부처 공동고시,수입,하이브리드,승용차,7,654 820,272/4200,56.1/1800-2200,전자분사,자동9,AWD,275/45 R21,315/40 R21,85,다목적형
Mercedes-Benz C300,벤츠,휘발유,"1,999cc","1,710kg",,10.4㎞/ℓ,14.0㎞/ℓ,11.8㎞/ℓ,3등급,143g/km,3개 부처 공동고시,수입,하이브리드,승용차,5,254920,258/5800,40.8/2000-3200,전자분사,자동9,FR,225/40 R19,255/35 R19,66,일반형
Peugeot 3008 1.2 Puretech,,휘발유,"1,199cc","1,510kg",자동8,11.1㎞/ℓ,13.8㎞/ℓ,12.2㎞/ℓ,3등급,134g/km,3개 부처 공동고시,수입,내연기관,승용차,5,HN05,131/5500,23.5/1750,직접분사,자동8,FF,205/55R19,205/55R19,52.5,다목적형
Peugeot 5008 1.2 Puretech,,휘발유,"1,199cc","1,590kg",자동8,10.8㎞/ℓ,14.2㎞/ℓ,12.1㎞/ℓ,3등급,135g/km,3개 부처 공동고시,수입,내연기관,승용차,7,HN05,131/5500,23.5/1750,직접분사,자동8,FF,205/55R19,205/55R19,56,다목적형
스포티지 2.0디젤 4WD 8AT 18인치,기아,경유,"1,998cc","1,715kg",자동8,11.7㎞/ℓ,14.3㎞/ℓ,12.8㎞/ℓ,3등급,150g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4HD,186/4000,42.5/2000~2750,CRD,자동8,AWD,235/60R18,235/60R18,54,다목적형
스포티지 2.0디젤 4WD 8AT 18인치 (빌트인캠),기아,경유,"1,998cc","1,715kg",자동8,11.6㎞/ℓ,14.2㎞/ℓ,12.7㎞/ℓ,3등급,151g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4HD,186/4000,42.5/2000~2750,CRD,자동8,AWD,235/60R18,235/60R18,54,다목적형
스포티지 2.0디젤 4WD 8AT 19인치 (빌트인캠),기아,경유,"1,998cc","1,705kg",자동8,11.5㎞/ℓ,14.1㎞/ℓ,12.6㎞/ℓ,3등급,152g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4HD,186/4000,42.5/2000~2750,CRD,자동8,AWD,235/55R19,235/55R19,54,다목적형
스포티지 1.6T-GDI 4WD 7DCT 17인치,기아,휘발유,"1,598cc","1,585kg",자동7,10.7㎞/ℓ,12.9㎞/ℓ,11.6㎞/ℓ,3등급,145g/km,3개 부처 공동고시,국산,내연기관,승용차,5,G4FP,180/5500,27.0/1500~4500,직접분사,자동7,AWD,235/65R17,235/65R17,54,다목적형
스포티지 1.6T-GDI 2WD 7DCT 19인치,기아,휘발유,"1,598cc","1,545kg",자동7,11.0㎞/ℓ,13.3㎞/ℓ,12.0㎞/ℓ,3등급,139g/km,3개 부처 공동고시,국산,내연기관,승용차,5,G4FP,180/5500,27.0/1500~4500,직접분사,자동7,FF,235/55R19,235/55R19,54,다목적형
스포티지 2.0디젤 4WD 8AT 19인치,기아,경유,"1,998cc","1,705kg",자동8,11.9㎞/ℓ,14.3㎞/ℓ,12.9㎞/ℓ,3등급,149g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4HD,186/4000,42.5/2000~2750,CRD,자동8,AWD,235/55R19,235/55R19,54,다목적형
스포티지 1.6T-GDI 2WD 7DCT 17인치,기아,휘발유,"1,598cc","1,525kg",자동7,11.5㎞/ℓ,13.8㎞/ℓ,12.5㎞/ℓ,3등급,133g/km,3개 부처 공동고시,국산,내연기관,승용차,5,G4FP,180/5500,27.0/1500~4500,직접분사,자동7,FF,235/65R17,235/65R17,54,다목적형
스포티지 1.6T-GDI 2WD 7DCT 19인치 (빌트인캠),기아,휘발유,"1,598cc","1,545kg",자동7,10.9㎞/ℓ,13.0㎞/ℓ,11.8㎞/ℓ,3등급,142g/km,3개 부처 공동고시,국산,내연기관,승용차,5,G4FP,180/5500,27.0/1500~4500,직접분사,자동7,FF,235/55R19,235/55R19,54,다목적형
스포티지 2.0디젤 4WD 8AT 17인치,기아,경유,"1,998cc","1,685kg",자동8,11.9㎞/ℓ,14.7㎞/ℓ,13.1㎞/ℓ,3등급,146g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D4HD,186/4000,42.5/2000~2750,CRD,자동8,AWD,235/65R17,235/65R17,54,다목적형
스포티지 1.6T-GDI 2WD 7DCT 18인치 (빌트인캠),기아,휘발유,"1,598cc","1,555kg",자동7,11.0㎞/ℓ,13.6㎞/ℓ,12.1㎞/ℓ,3등급,138g/km,3개 부처 공동고시,국산,내연기관,승용차,5,G4FP,180/5500,27.0/1500~4500,직접분사,자동7,FF,235/60R18,235/60R18,54,다목적형
스포티지 1.6T-GDI 2WD 7DCT 18인치,기아,휘발유,"1,598cc","1,555kg",자동7,11.3㎞/ℓ,13.6㎞/ℓ,12.3㎞/ℓ,3등급,136g/km,3개 부처 공동고시,국산,내연기관,승용차,5,G4FP,180/5500,27.0/1500~4500,직접분사,자동7,FF,235/60R18,235/60R18,54,다목적형
쏘나타(DN8) 2.0CVVL 17인치 non-ISG,현대,휘발유,"1,999cc","1,420kg",자동6,10.9㎞/ℓ,14.9㎞/ℓ,12.4㎞/ℓ,3등급,135g/km,3개 부처 공동고시,국산,내연기관,승용차,5,G4NM,160/6500,20.0/4800,MPI,자동6,FF,215/55R17,215/55R17,60,일반형
Mercedes-Benz E300 d 4MATIC Coupe,벤츠,경유,"1,993cc","1,955kg",,12.3㎞/ℓ,15.0㎞/ℓ,13.4㎞/ℓ,3등급,142g/km,3개 부처 공동고시,수입,하이브리드,승용차,4,654 820,265/4200,56.1/1800-2200,전자분사,자동9,AWD,245/40 R19,275/35 R19,66,일반형
GV80(22MY) 3.0디젤 2WD 5인 20인치 타이어,현대,경유,"2,996cc","2,160kg",자동8,10.4㎞/ℓ,13.3㎞/ℓ,11.6㎞/ℓ,3등급,167g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D6JA,278/3800,60.0/1500~3000,CRD,자동8,FR,265/50R20,265/50R20,80,다목적형
GV80(22MY) 3.0디젤 2WD 5인 22인치 타이어,현대,경유,"2,996cc","2,175kg",자동8,10.4㎞/ℓ,13.3㎞/ℓ,11.6㎞/ℓ,3등급,167g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D6JA,278/3800,60.0/1500~3000,CRD,자동8,FR,265/40R22,265/40R22,80,다목적형
GV80(22MY) 3.0디젤 2WD 5인 19인치 타이어,현대,경유,"2,996cc","2,150kg",자동8,10.5㎞/ℓ,13.7㎞/ℓ,11.8㎞/ℓ,3등급,164g/km,3개 부처 공동고시,국산,내연기관,승용차,5,D6JA,278/3800,60.0/1500~3000,CRD,자동8,FR,265/55R19,265/55R19,80,다목적형
